w,rho_true_measured_mean,rho_true_measured_stdev,rho_true_measured_se,n_replications,n_instruments,n_days,horizon_h,beta,base_seed,dimension_point_id,stream_tag,first_seed,last_seed
0.0,-0.002651437115799967,0.02976307506107063,0.004209134440929452,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,6707980709093234549,6344865821316506293
0.1,0.0603328459877056,0.03403494006944654,0.004813267384076678,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,8366146076074955943,3977762274310236710
0.2,0.15899388602757933,0.03678305896755193,0.005201910085748123,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,9102954228395056894,6169390863617838619
0.3,0.250902774547267,0.028727445688134887,0.004062674330449685,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,12659421431975606178,8574099928585364681
0.4,0.3516688154178435,0.026505268187391358,0.0037484109744945,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,14465109753805291438,3053785868163881971
0.5,0.4549698953314504,0.02209346475372824,0.003124487749453443,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,4860476243726910473,17235849371718078940
0.6,0.5591792307258205,0.019330330319716902,0.0027337215303295487,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,18034274341025613285,7606354415466486293
0.7,0.6654820069779034,0.013507930419640855,0.0019103098399048189,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,2198901036292899797,15397466422020006125
0.8,0.7970871490612912,0.00659485925813938,0.0009326539404802479,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,15809904451522040802,1806320420271291010
0.9,0.9041840837348397,0.0028819612050832943,0.00040757086224619036,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,2092836197468824030,13931647425606732428
1.0,1.0,0.0,0.0,50,25,463,20,0.3,20260720,phase3_calibration_n25_d463_h20_beta0.30,panel,14136482365364580294,13736516939823973885
